entity,thing,type1
Surin Pitsuwan Biography," Nakhon Si Thammarat Province, Thailand",Born in
Surin Pitsuwan Biography, Politician,Famous as
Surin Pitsuwan Biography, Alisa Pitsuwan,Spouse/Ex-
Surin Pitsuwan Biography," Frickli Pitsuwan, Hussani Pitsuwan, Muhammad Fuake Pitsuwan",children
Surin Pitsuwan Biography, Islam,religion
Surin Pitsuwan Biography," November 30, 2017",Died on
Surin Pitsuwan Biography, Bangkok,place of death
Surin Pitsuwan Biography, Heart Attack,Cause of Death
Surin Pitsuwan Biography," Harvard University, Thammasat University, Claremont McKenna College",education
Yiannis Boutaris Biography," June 13, 1942",Birthday
Yiannis Boutaris Biography, Greek,Nationality
Yiannis Boutaris Biography," 
Business People 

Political Leaders 
",Famous
Yiannis Boutaris Biography, Gemini,Sun Sign
Yiannis Boutaris Biography," 76 Years, 76 Year Old Males",Age
Yiannis Boutaris Biography, Giannis Boutaris,Also Known As
Yiannis Boutaris Biography, Thessaloniki,Born in
Yiannis Boutaris Biography, Greek Politician,Famous as
Yiannis Boutaris Biography, Political party - Drassi,political ideology
Yiannis Boutaris Biography, Athina Michael,Spouse/Ex-
Yiannis Boutaris Biography, Stelios Boutaris,father
James Douglas Biography," August 15, 1803",Birthday
Yiannis Boutaris Biography, Fani Misiou,mother
Yiannis Boutaris Biography, Konstantinos Boutaris,siblings
Yiannis Boutaris Biography," Fanny Boutaris, Michalis Boutaris, Stelios Boutaris",children
Yiannis Boutaris Biography," Aristotle University of Thessaloniki, Anatolia College",education
James Douglas Biography, British,Nationality
James Douglas Biography," 
Political Leaders 

British Men 
",Famous
James Douglas Biography, Leo,Sun Sign
James Douglas Biography, 73,Died At Age
James Douglas Biography, Demerara,Born in
James Douglas Biography, British colonial governor on Vancouver Island (now British Columbia),Famous as
James Douglas Biography, Amelia Connolly,Spouse/Ex-
James Douglas Biography, John Douglas,father
James Douglas Biography," Martha Ann Tefler, or",mother
James Douglas Biography, Cecilia,children
James Douglas Biography," August 2, 1877",Died on
James Douglas Biography," Victoria, British Columbia",place of death
James Douglas Biography, 1858 - Order of the Bath in recognition of his service as Governor of Vancouver Island,awards
Haneen Zoabi Biography," May 23, 1969",Birthday
Haneen Zoabi Biography, Israeli,Nationality
Haneen Zoabi Biography," 
Political Leaders 

Israeli Women 
",Famous
Haneen Zoabi Biography, Gemini,Sun Sign
Haneen Zoabi Biography," 49 Years, 49 Year Old Females",Age
Haneen Zoabi Biography, Nazareth,Born in
Haneen Zoabi Biography, Member of the Knesset,Famous as
Haneen Zoabi Biography," University of Haifa, Hebrew University of Jerusalem",education
Oscar Arias Sanchez Biography," September 13, 1940",Birthday
Oscar Arias Sanchez Biography, Costa Rican,Nationality
Oscar Arias Sanchez Biography," 
Nobel Peace Prize 

Presidents 
",Famous
Oscar Arias Sanchez Biography, Virgo,Sun Sign
Oscar Arias Sanchez Biography," 78 Years, 78 Year Old Males",Age
Oscar Arias Sanchez Biography, Óscar Arias,Also Known As
Oscar Arias Sanchez Biography," Heredia, Costa Rica",Born in
Oscar Arias Sanchez Biography, President of Costa Rica,Famous as
Oscar Arias Sanchez Biography, National Liberation Party,political ideology
Oscar Arias Sanchez Biography, Suzanne Fischel (m. 2012),Spouse/Ex-
Oscar Arias Sanchez Biography, Juan Arias Sanchez,father
Oscar Arias Sanchez Biography, Lillyan Arias Sanchez,mother
Oscar Arias Sanchez Biography," Óscar Felipe Arias Penón, Silvia Eugenia Arias Penón",children
Oscar Arias Sanchez Biography, Roman catholic ,religion
Oscar Arias Sanchez Biography," London School of Economics, Boston University, University of Essex, University of Costa Rica",education
Oscar Arias Sanchez Biography, 1987 - Nobel Peace Prize,awards
Bamir Topi Biography," April 24, 1957",Birthday
Bamir Topi Biography, Albanian,Nationality
Bamir Topi Biography," 
Presidents 

Political Leaders 
",Famous
Bamir Topi Biography, Taurus,Sun Sign
Bamir Topi Biography," 61 Years, 61 Year Old Males",Age
Bamir Topi Biography, Bamir Myrteza Topi,Also Known As
Bamir Topi Biography, Tirana,Born in
Algirdas Brazauskas Biography," September 22, 1932",Birthday
Algirdas Brazauskas Biography, Lithuanian,Nationality
Algirdas Brazauskas Biography," 
Presidents 

Prime Ministers 
",Famous
Algirdas Brazauskas Biography, Virgo,Sun Sign
Algirdas Brazauskas Biography, 77,Died At Age
Algirdas Brazauskas Biography, Algirdas Mykolas Brazauskas,Also Known As
Bamir Topi Biography, Former President of Albania,Famous as
Bamir Topi Biography, 1.53 m,Height
Bamir Topi Biography, Political party	- Former Democratic Party - New Democratic Spirit,political ideology
Bamir Topi Biography, Teuta Topi,Spouse/Ex-
Bamir Topi Biography," Etida Topi, Nada Topi",children
Bamir Topi Biography," Catholicism, Islam",religion
Bamir Topi Biography, Agricultural University of Tirana,education
Algirdas Brazauskas Biography, Rokiškis,Born in
Algirdas Brazauskas Biography, Yachting and Hunting,Famous as
Algirdas Brazauskas Biography," Political party	Communist Party of Lithuania (1957–1990), Communist Party of the Soviet Union (1959-1989), Democratic Labour Party of Lithuania (1990–2001), Social Democratic Party of Lithuania (2001–2010)",political ideology
Algirdas Brazauskas Biography," Julija Brazauskienė, Kristina Brazauskienė",Spouse/Ex-
Algirdas Brazauskas Biography, Kazimieras Brazauskas,father
Algirdas Brazauskas Biography, Sofija Perezilevičiūtė-Brazauskienė,mother
Algirdas Brazauskas Biography, Catholicism,religion
Algirdas Brazauskas Biography," June 26, 2010",Died on
Algirdas Brazauskas Biography, Vilnius,place of death
Algirdas Brazauskas Biography, University Of Technology,Notable Alumni
Algirdas Brazauskas Biography," 1956 - Kaunas University of Technology, 1974 -",education
Algirdas Brazauskas Biography, Yachting and Hunting,Hobbies
Emile Habibi Biography," August 29, 1922",Birthday
Emile Habibi Biography, Israeli,Nationality
Emile Habibi Biography," 
Novelists 

Political Leaders 
",Famous
Emile Habibi Biography, Virgo,Sun Sign
Emile Habibi Biography, 73,Died At Age
Emile Habibi Biography, Emile Habiby,Also Known As
Emile Habibi Biography, Haifa,Born in
Emile Habibi Biography, Writer,Famous as
Emile Habibi Biography," May 2, 1996",Died on
Emile Habibi Biography, Nazareth,place of death
Emile Habibi Biography, Fishing,Hobbies
Holden Roberto Biography," January 12, 1923",Birthday
Holden Roberto Biography, Angolan,Nationality
Holden Roberto Biography," 
Revolutionaries 

Political Leaders 
",Famous
Holden Roberto Biography, Capricorn,Sun Sign
Holden Roberto Biography, 84,Died At Age
Holden Roberto Biography, Holden Álvaro Roberto,Also Known As
Holden Roberto Biography," São Salvador, Angola",Born in
Holden Roberto Biography, Angolan Independence Leader,Famous as
Holden Roberto Biography, Garcia Diasiwa Roberto,father
Holden Roberto Biography, Joana Lala Nekaka,mother
Holden Roberto Biography," August 2, 2007",Died on
Holden Roberto Biography, Luanda,place of death
Henri La Fontaine Biography," April 22, 1854",Birthday
Henri La Fontaine Biography, Belgian,Nationality
Henri La Fontaine Biography," 
Nobel Peace Prize 

Political Leaders 
",Famous
Henri La Fontaine Biography, Taurus,Sun Sign
Henri La Fontaine Biography, 89,Died At Age
Henri La Fontaine Biography, Belgium,Born in
Henri La Fontaine Biography," Socialist, Senator, and Nobel Peace Prize Winner",Famous as
Henri La Fontaine Biography," May 14, 1943",Died on
Henri La Fontaine Biography, Brussels,place of death
Henri La Fontaine Biography, Université Libre de Bruxelles,education
Henri La Fontaine Biography, Nobel Peace Prize,awards
Matthew Thornton Biography, 1714,Born
Matthew Thornton Biography, American,Nationality
Matthew Thornton Biography," 
Physicians 

Political Leaders 
",Famous
Matthew Thornton Biography, 89,Died At Age
Matthew Thornton Biography, Matthew Thornton ,Also Known As
Matthew Thornton Biography, Ireland,Born in
Matthew Thornton Biography, Hannah Jack,Spouse/Ex-
Matthew Thornton Biography, James Thornton,father
Matthew Thornton Biography, Elizabeth Malone,mother
Matthew Thornton Biography," June 24, 1803",Died on
Matthew Thornton Biography," Newburyport, Massachusetts",place of death
Matthew Thornton Biography, Leicester,education
William Ellery Biography," December 2, 1727",Birthday
Sun Yat Sen Biography," November 12, 1866",Birthday
William Ellery Biography, American,Nationality
William Ellery Biography," 
Political Leaders 

American Men 
",Famous
William Ellery Biography, Sagittarius,Sun Sign
William Ellery Biography, 92,Died At Age
William Ellery Biography, William Ellery,Also Known As
William Ellery Biography, Newport,Born in
William Ellery Biography," Abigail Cary, Ann Remington",Spouse/Ex-
William Ellery Biography, William Ellery Sr,father
William Ellery Biography, Elizabeth Almy,mother
William Ellery Biography," February 15, 1820",Died on
Sun Yat Sen Biography, Chinese,Nationality
Sun Yat Sen Biography," 
Political Leaders 

Chinese Men 
",Famous
Sun Yat Sen Biography, Scorpio,Sun Sign
Sun Yat Sen Biography, 58,Died At Age
Sun Yat Sen Biography, Zhongshan,Born in
Sun Yat Sen Biography, Chinese Revolutionary and 'Father of Modern china',Famous as
Sun Yat Sen Biography, Kuomintang,political ideology
Sun Yat Sen Biography," Lu Muzhen, Soong Ching-ling",Spouse/Ex-
Sun Yat Sen Biography, Sun Dacheng,father
Sun Yat Sen Biography, Madam Yang,mother
Sun Yat Sen Biography," Deyou, Jinxing, Miaoxi, Qiuqi, Sun Mei",siblings
Sun Yat Sen Biography, Sun Ke,children
William Ellery Biography, Newport,place of death
William Ellery Biography," Harvard College, Harvard University, ",education
Sun Yat Sen Biography, Christian,religion
Sun Yat Sen Biography," March 12, 1925",Died on
Sun Yat Sen Biography, Beijing,place of death
Sun Yat Sen Biography," Hong Kong College of Medicine for Chinese (1892), Iolani School (1882), Punahou School",education
William A. Marovitz Biography," September 29, 1944",Birthday
William A. Marovitz Biography, American,Nationality
William A. Marovitz Biography," 
Lawyers 

Political Leaders 
",Famous
William A. Marovitz Biography, Libra,Sun Sign
William A. Marovitz Biography," 74 Years, 74 Year Old Males",Age
William A. Marovitz Biography, Lawyer & Politician,Famous as
William A. Marovitz Biography, Democratic Party,political ideology
William A. Marovitz Biography, Christie Hefner (1995–2013),Spouse/Ex-
Mireya Moscoso Biography," July 1, 1946",Birthday
Mireya Moscoso Biography, Panamanian,Nationality
Mireya Moscoso Biography," 
Presidents 

Political Leaders 
",Famous
Mireya Moscoso Biography, Cancer,Sun Sign
Mireya Moscoso Biography," 72 Years, 72 Year Old Females",Age
Mireya Moscoso Biography, Mireya Elisa Moscoso Rodríguez de Arias,Also Known As
Mireya Moscoso Biography," Pedasí township, Los Santos",Born in
Mireya Moscoso Biography, Political figure,Famous as
Mireya Moscoso Biography, Political party - Arnulfista Party,political ideology
Mireya Moscoso Biography," Arnulfo Arias, Ricardo Gruber",Spouse/Ex-
Mireya Moscoso Biography, Ruby Moscoso de Young,siblings
Mireya Moscoso Biography, Catholicism,religion
Mireya Moscoso Biography, Miami Dade College,education
Mireya Moscoso Biography," Served as member of ‘Woodrow Wilson International Centre for Scholars' Council of Women World Leaders’, aiming at promoting democracy and involvement in politics among women", Humanitarian Work
Laisenia Qarase Biography," February 4, 1941",Birthday
Laisenia Qarase Biography, Fijian,Nationality
Laisenia Qarase Biography," 
Political Leaders 

Aquarius Leaders 
",Famous
Laisenia Qarase Biography, Aquarius,Sun Sign
Laisenia Qarase Biography," 77 Years, 77 Year Old Males",Age
Laisenia Qarase Biography, Vanua Balavu,Born in
Laisenia Qarase Biography, Former Prime Minister of Fiji,Famous as
Laisenia Qarase Biography, United Fiji Party (Soqosoqo Duavata ni Lewenivanua),political ideology
Laisenia Qarase Biography, Leba Qarase,Spouse/Ex-
Laisenia Qarase Biography, Socialists,Ideology
Laisenia Qarase Biography," University of Auckland, Suva Grammar School",education
William Hooper Biography," June 17, 1742",Birthday
William Hooper Biography, American,Nationality
William Hooper Biography," 
Political Leaders 

American Men 
",Famous
William Hooper Biography, Gemini,Sun Sign
William Hooper Biography, 48,Died At Age
William Hooper Biography, Boston,Born in
William Hooper Biography, Former Delegate to the Continental Congress,Famous as
William Hooper Biography, Anne Clark,Spouse/Ex-
William Hooper Biography, William Hooper,father
William Hooper Biography, Mary Dennie,mother
William Hooper Biography," Elizabeth, William",children
William Hooper Biography," October 14, 1790",Died on
William Hooper Biography, North Carolina,place of death
Raul Castro Biography," June 3, 1931",Birthday
William Hooper Biography," Boston Latin School, Harvard University, ",education
Raul Castro Biography, Cuban,Nationality
Raul Castro Biography," 
Political Leaders 

Cuban Men 
",Famous
Raul Castro Biography, Gemini,Sun Sign
Raul Castro Biography," 87 Years, 87 Year Old Males",Age
Raul Castro Biography, Raúl Modesto Castro Ruz,Also Known As
Raul Castro Biography," Birán, Cuba",Born in
Raul Castro Biography, President of the Council of State of Cuba,Famous as
Raul Castro Biography, Communist Party,political ideology
Raul Castro Biography," Maria Argota, Vilma Espín",Spouse/Ex-
Raul Castro Biography, Ángel Castro,father
Raul Castro Biography, Lina Ruz,mother
Raul Castro Biography," Agustina, Angela, Antonia, Emma, Fidel, Georgina, Juanita, Manuel, Maria Lidia, Pedro Emilio, Ramón",siblings
Raul Castro Biography," Alejandro, Deborah, Mariela, Nilsa",children
Léon Bourgeois Biography," May 21, 1851",Birthday
Raul Castro Biography, Communists,Ideology
Raul Castro Biography," $100 million as of Jan 2, 2017",Net worth
Raul Castro Biography, Belen Jesuit Preparatory School,education
Raul Castro Biography, 2010 - Order of Yaroslav Mudry First Grade 2008 - Order Prince Daniel of Good Faith First Degree - Hero of the Republic of Cuba,awards
Léon Bourgeois Biography, French,Nationality
Léon Bourgeois Biography," 
Prime Ministers 

Political Leaders 
",Famous
Léon Bourgeois Biography, Taurus,Sun Sign
Léon Bourgeois Biography, 74,Died At Age
Léon Bourgeois Biography," Leon Bourgeois, Léon Victor Auguste Bourgeois",Also Known As
Léon Bourgeois Biography," Paris, France",Born in
Léon Bourgeois Biography, French Statesman,Famous as
Léon Bourgeois Biography," September 29, 1925",Died on
Léon Bourgeois Biography, Épernay,place of death
Léon Bourgeois Biography, University of Paris,education
Bruce Fairchild Barton Biography," August 5, 1886",Birthday
Bruce Fairchild Barton Biography, American,Nationality
Bruce Fairchild Barton Biography," 
Political Leaders 

American Men 
",Famous
Bruce Fairchild Barton Biography, Leo,Sun Sign
Bruce Fairchild Barton Biography, 80,Died At Age
Bruce Fairchild Barton Biography, Bruce Barton,Also Known As
Bruce Fairchild Barton Biography," Robbins, Tennessee",Born in
Bruce Fairchild Barton Biography, American author,Famous as
Bruce Fairchild Barton Biography, Republican Party,political ideology
Bruce Fairchild Barton Biography, Esther M. Randall,Spouse/Ex-
